"","ID","TIMESTAMP","DIA","MES","year","ESTADO","Municipio","DE","PF","MIF","MAF","PFF","AFIF","PEF","PMF","PMUF","AMPF","DOF","CIF","PL","MIL","MAL","PFL","AFIFL","PEL","PML","PMUL","AMPL","DOL","CIL","ARL","ARC","CARG","CART","VE","AC","AP","DEL","TOR","DTRA","PRE","FCRU","ELE","TAX","DRO","VEH","VAL","asegur","corpo","team","com","arm","uni","din","veh","mar","coc","her","dr","otr","arl_d","arc_d","sedena","semar","bom","bomu","pfp","pes","pmu","min","afi","date","muncode","capital","dist_capital","NOM_MUN","pop","RANGE","MEAN","STD","party_mixed","fed_party","densidad","cartel","pct.poor","pct.extpoor","gini"
"11",11,1172210410,23,2,2007,2,4,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,1,0,9999,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2007-02-23,2004,0,138.36065646,"Tijuana",1559683,1283,375.162,222.34,"PAN",1,51.1234879138975,1,32.8,3.5,0.438
"12",12,1172728810,1,3,2007,20,43,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,44,0,1,0,0,0,0,0,9999,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2007-03-01,20043,0,197.612592425,"Heroica Ciudad de Juchit<e1>n de Zaragoza",93038,458,3.18419,33.3719,"PRD",0,10.4875850829302,0,60.2,11.3,0.429
"13",13,1172901610,3,3,2007,19,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,1,0,0,0,0,0,9999,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2007-03-03,19011,0,82.6118328193,"Cerralvo",7855,1350,431.846,243.041,"PRI",0,7.38359050343733,1,36.3,2.5,0.366
"14",14,1172988010,4,3,2007,30,193,5,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,1,0,0,0,0,1,9999,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2007-03-04,30193,0,89.2925129256,"Veracruz",552156,119,24.644,18.751,"PAN",1,135.655721892188,1,30.9,4.7,0.466
"15",15,1173160810,6,3,2007,30,193,0,2,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,49,0,1,0,0,0,0,1,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-03-06,30193,0,89.2925129256,"Veracruz",552156,119,24.644,18.751,"PAN",1,135.655721892188,1,30.9,4.7,0.466
"16",16,1173592810,11,3,2007,20,413,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,2,0,1,0,0,0,0,54,0,0,0,0,0,0,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-03-11,20413,0,142.392305066,"Santa Mar<ed>a Huatulco",38629,1372,197.644,204.127,"PRI",0,34.1503279872583,1,57.8,12.9,0.447
"17",17,1173852010,14,3,2007,10,7,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,1,0,0,0,0,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-03-14,10007,0,206.833320259,"G<U+000ED97A> Palacio",327985,663,1122.22,42.3798,"PRI",0,66.6501006214282,0,38.8,5.6,0.421
"18",18,1173938410,15,3,2007,25,11,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,1,0,0,0,0,0,9999,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2007-03-15,25011,0,135.144465585,"Guasave",285912,254,13.0798,13.8155,"PRI",0,25.9491123664733,1,40.8,5.9,0.421
"19",19,1174197610,18,3,2007,30,28,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,1,0,0,0,0,1,9999,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2007-03-18,30028,0,97.9110010615,"Boca del R<ed>o",138058,43,6.81711,5.78082,"PAN",1,253.654893344555,1,32.3,4.5,0.465
"20",20,1175407210,1,4,2007,12,16,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,1,0,0,0,0,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-04-01,12016,0,253.868933096,"Coahuayutla de Jos<e9> Mar<ed>a Izazaga",13025,2597,634.639,368.444,"PRI",0,3.84552605559654,0,88.5,60.4,0.414
"21",21,1175749210,5,4,2007,25,3,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,78,0,1,0,0,0,1,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-04-05,25003,0,63.2751164321,"Badiraguato",29999,2729,870.8,527.308,"PRI",0,5.83939829476875,1,74.8,21.1,0.423
"22",22,1176267610,11,4,2007,19,34,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,4,36,926,1,0,0,0,0,84,0,1,0,0,1,1,0,9999,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2007-04-11,19034,0,35.9941602933,"Mar<ed>n",5488,1210,483.861,260.71,"PRI",0,19.5698327354666,0,28.3,1.8,0.373
"23",23,1176267610,11,4,2007,16,82,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-04-11,16082,0,58.8419263428,"Tac<e1>mbaro",69955,2216,1887.16,523.746,"OTHER",0,42.2234290841931,1,60.3,15,0.421
"24",24,1176526810,14,4,2007,30,87,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,87,0,0,0,0,0,0,1,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-04-14,30087,1,0,"Xalapa",457928,926,1239.47,201.347,"PRI",0,173.654950495682,0,37.4,5.6,0.462
"25",25,1176613210,15,4,2007,30,193,0,3,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-04-15,30193,0,89.2925129256,"Veracruz",552156,119,24.644,18.751,"PAN",1,135.655721892188,1,30.9,4.7,0.466
"26",26,1176699610,16,4,2007,10,23,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,89,0,0,0,0,0,0,0,9,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2007-04-16,10023,0,74.1111952906,"Pueblo Nuevo",49162,3200,1806.59,649.799,"PAN",1,8.69693554933662,0,74.8,24.6,0.476
"27",27,1176872410,18,4,2007,2,4,6,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,1,9999,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2007-04-18,2004,0,138.36065646,"Tijuana",1559683,1283,375.162,222.34,"PAN",1,51.1234879138975,1,32.8,3.5,0.438
"28",28,1176872410,18,4,2007,4,3,19,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,24,10,61,2000,8,0,1,0,0,91,0,1,0,0,0,0,1,4,6,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,2007-04-18,4003,0,191.294543797,"Carmen",221094,106,6.64073,14.1902,"PAN",1,7.56353850849722,1,41.1,8.4,0.485
"29",29,1176872410,18,4,2007,25,12,0,2,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-04-18,25012,0,202.813566228,"Mazatl<e1>n",438434,2501,223.239,350.014,"PAN",1,26.573956463363,1,28.1,2.9,0.425
"30",30,1176958810,19,4,2007,2,4,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,1,0,0,0,0,1,9999,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2007-04-19,2004,0,138.36065646,"Tijuana",1559683,1283,375.162,222.34,"PAN",1,51.1234879138975,1,32.8,3.5,0.438
"31",31,1177131610,21,4,2007,23,6,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,9999,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2007-04-21,23006,0,145.660606462,"Jos<e9> Mar<ed>a Morelos",36179,175,66.7422,35.5104,"OTHER",0,10.8197473424077,0,73.2,26.8,0.48
"32",32,1177218010,22,4,2007,10,5,0,6,0,0,0,0,0,3,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,1,9999,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2007-04-22,10005,1,0,"Durango",582267,1933,2273.89,283.806,"PRI",0,15.6617763364752,1,42.2,5.1,0.436
"33",33,1177909210,30,4,2007,19,48,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,103,0,0,0,0,0,0,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-04-30,19048,0,14.7837550567,"Santa Catarina",268955,2659,1635.1,574.083,"PAN",1,27.5964939373285,0,25.4,2.1,0.392
"34",34,1177995610,1,5,2007,16,13,0,7,6,0,0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,3,0,0,556,0,0,0,0,0,104,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2007-05-01,16013,0,76.2552093755,"Car<e1>cuaro",9212,1315,771.865,188.871,"OTHER",0,11.8103075551929,1,80.8,38,0.485
"35",35,1178254810,4,5,2007,16,102,0,5,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,107,0,1,0,0,0,1,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-04,16102,0,96.7772385791,"Uruapan",315350,2742,1907.62,512.179,"PRD",0,28.9247037199905,1,54.8,12.4,0.482
"36",36,1178254810,4,5,2007,16,102,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,1,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-04,16102,0,96.7772385791,"Uruapan",315350,2742,1907.62,512.179,"PRD",0,28.9247037199905,1,54.8,12.4,0.482
"37",37,1178514010,7,5,2007,16,6,7,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,3,3,15,798,5,0,1,0,0,110,0,0,0,0,0,0,0,7,3,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2007-05-07,16006,0,140.280112975,"Apatzing<e1>n",123649,1928,543.906,359.028,"PRD",0,15.0190920862881,1,58.4,13.1,0.391
"38",38,1178600410,8,5,2007,16,6,0,4,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,0,0,0,0,0,0,17,0,15,486,0,0,0,0,0,111,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2007-05-08,16006,0,140.280112975,"Apatzing<e1>n",123649,1928,543.906,359.028,"PRD",0,15.0190920862881,1,58.4,13.1,0.391
"39",39,1178686810,9,5,2007,20,413,10,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,112,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2007-05-09,20413,0,142.392305066,"Santa Mar<ed>a Huatulco",38629,1372,197.644,204.127,"PRI",0,34.1503279872583,1,57.8,12.9,0.447
"40",40,1178773210,10,5,2007,28,41,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,113,0,0,0,0,0,1,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-10,28041,1,0,"Victoria",321953,1940,644.22,411.313,"PRI",0,30.8868102139594,1,24.7,2.7,0.458
"41",41,1178859610,11,5,2007,8,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,114,0,1,0,0,0,0,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-11,8005,0,325.101437641,"Ascensi<f3>n",23975,1244,1295.7,130.851,"PAN",1,2.79894399294067,0,64.6,20.6,0.426
"42",42,1179032410,13,5,2007,25,15,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,1,0,0,0,0,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-13,25015,0,98.6123153084,"Salvador Alvarado",79085,623,75.1822,63.3857,"PRI",0,18.825098390802,1,32.8,3,0.427
"43",43,1179118810,14,5,2007,13,51,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,117,0,1,0,0,0,0,0,3,6,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2007-05-14,13051,0,6.9973075104,"Mineral de la Reforma",127404,650,2417.5,116.141,"PRI",0,140.627040079294,0,22.5,2.4,0.474
"44",44,1179291610,16,5,2007,26,6,12,23,0,0,0,0,0,0,5,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,119,0,0,0,0,0,0,1,9999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2007-05-16,26006,0,155.407088193,"Arizpe",3037,1514,1187.22,213.389,"PAN",1,2.22598610180746,0,49.8,6.7,0.425
"45",45,1179378010,17,5,2007,5,35,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-17,5035,0,240.717034608,"Torre<f3>n",639629,2026,1528.19,345.259,"PAN",1,35.6504512361755,1,27.3,2.9,0.452
"46",46,1179464410,18,5,2007,26,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,1,0,0,0,0,0,9999,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2007-05-18,26019,0,217.35194892,"Cananea",32936,1320,1501.15,168.067,"PAN",1,8.48269604727642,1,39.6,3,0.413
"47",47,1179637210,20,5,2007,20,413,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,1,9999,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2007-05-20,20413,0,142.392305066,"Santa Mar<ed>a Huatulco",38629,1372,197.644,204.127,"PRI",0,34.1503279872583,1,57.8,12.9,0.447
"48",48,1179723610,21,5,2007,16,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,65,2438,4,0,0,0,0,124,0,1,0,0,0,0,0,9999,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2007-05-21,16006,0,140.280112975,"Apatzing<e1>n",123649,1928,543.906,359.028,"PRD",0,15.0190920862881,1,58.4,13.1,0.391
"49",49,1179723610,21,5,2007,10,23,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,1,0,0,0,0,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-05-21,10023,0,74.1111952906,"Pueblo Nuevo",49162,3200,1806.59,649.799,"PAN",1,8.69693554933662,0,74.8,24.6,0.476
"50",50,1179982810,24,5,2007,16,38,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,37,840,2,0,0,0,0,127,0,1,0,0,1,0,1,9,1,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,2007-05-24,16038,0,123.149185643,"Huetamo",41937,1635,529.45,245.643,"PRD",0,14.8864917760443,1,67.2,29.2,0.494
"51",51,1180155610,26,5,2007,2,1,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,129,0,1,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2007-05-26,2001,0,136.429653161,"Ensenada",466814,2933,581.761,448.134,"PAN",1,5.6134269688173,1,36.1,5.7,0.452
"52",52,1180155610,26,5,2007,7,65,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,25,0,0,0,0,0,129,0,0,0,0,0,0,1,9999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2007-05-26,7065,0,148.412773587,"Palenque",110918,880,165.25,151.508,"PRD",0,12.7314600114143,1,82.3,38.5,0.47
"53",53,1180328410,28,5,2007,7,65,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,1,0,9999,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2007-05-28,7065,0,148.412773587,"Palenque",110918,880,165.25,151.508,"PRD",0,12.7314600114143,1,82.3,38.5,0.47
"54",54,1180414810,29,5,2007,2,4,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,1,0,0,0,0,0,9999,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2007-05-29,2004,0,138.36065646,"Tijuana",1559683,1283,375.162,222.34,"PAN",1,51.1234879138975,1,32.8,3.5,0.438
"55",55,1180587610,31,5,2007,25,16,6,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,2,4,99,0,0,0,0,0,134,0,0,0,0,0,0,0,9999,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2007-05-31,25016,0,136.024248511,"San Ignacio",22527,2922,632.983,547.263,"OTHER",0,5.58784863172214,1,61.3,9.9,0.401
"56",56,1180674010,1,6,2007,25,16,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,9999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2007-06-01,25016,0,136.024248511,"San Ignacio",22527,2922,632.983,547.263,"OTHER",0,5.58784863172214,1,61.3,9.9,0.401
"57",57,1181192410,7,6,2007,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,9999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2007-06-07,1001,1,0,"Aguascalientes",797010,670,1927.67,78.0007,"PAN",1,85.756016729024,1,30.5,2.3,0.437
"58",58,1181365210,9,6,2007,19,38,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,1,19,622,2,0,1,0,0,143,0,1,0,0,0,0,1,10,1,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,2007-06-09,19038,0,70.8868974794,"Montemorelos",59113,2802,603.591,425.535,"PAN",1,27.6063844287649,0,25.5,2.7,0.442
"59",59,1181624410,12,6,2007,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,146,0,1,0,0,0,1,0,9999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2007-06-12,8005,0,325.101437641,"Ascensi<f3>n",23975,1244,1295.7,130.851,"PAN",1,2.79894399294067,0,64.6,20.6,0.426
"60",60,1182315610,20,6,2007,27,4,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,1,9999,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2007-06-20,27004,1,0,"Centro",640359,98,6.50144,8.73282,"PRI",0,65.6899663835707,1,37.8,5.3,0.468
