ID	TIMESTAMP	DIA	MES	AÑO	ESTADO	Municipio	DE	PF	MIF	MAF	PFF	AFIF	PEF	PMF	PMUF	AMPF	DOF	CIF	PL	MIL	MAL	PFL	AFIFL	PEL	PML	PMUL	AMPL	DOL	CIL	ARL	ARC	CARG	CART	VE	AC	AP	DEL	TOR	DTRA	PRE	FCRU	ELE	TAX	DRO	VEH	VAL
22	1176267610	11	4	2007	19	34	1	2	9999	9999	9999	9999	9999	9999	9999	9999	2	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	6	4	36	926	1	0	0	0	0	84	0	1	0	0	1	1	0
23	1176267610	11	4	2007	16	82	1	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	1	9999	9999	9999	9999	9999	9999	9999	9999	1	9999	9999	9999	9999	9999	9999	0	0	0	0	84	0	0	0	0	0	0	0
24	1176526810	14	4	2007	30	87	9999	2	9999	9999	9999	9999	9999	9999	9999	9999	2	9999	2	9999	9999	9999	9999	9999	9999	9999	9999	9999	2	9999	9999	9999	9999	8	0	0	0	0	87	0	0	0	0	0	0	1
25	1176613210	15	4	2007	30	193	9999	3	9999	9999	9999	9999	9999	9999	9999	9999	3	9999	4	9999	9999	9999	9999	9999	9999	9999	9999	4	9999	9999	9999	9999	9999	9999	0	0	0	0	88	0	0	0	0	0	0	0
26	1176699610	16	4	2007	10	23	9999	1	9999	9999	9999	9999	9999	9999	9999	9999	1	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	1	9999	3	9999	0	0	0	0	89	0	0	0	0	0	0	0
27	1176872410	18	4	2007	2	4	6	3	9999	9999	9999	9999	9999	9999	9999	9999	3	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	0	0	0	91	0	0	0	0	0	0	1
28	1176872410	18	4	2007	4	3	19	2	9999	9999	9999	9999	9999	9999	9999	9999	2	9999	2	9999	9999	9999	9999	2	9999	9999	9999	9999	9999	24	10	61	2000	8	0	1	0	0	91	0	1	0	0	0	0	1
29	1176872410	18	4	2007	25	12	9999	2	9999	9999	9999	9999	9999	9999	9999	9999	2	9999	4	9999	9999	9999	9999	9999	9999	9999	9999	4	9999	9999	9999	9999	9999	9999	0	0	0	0	91	0	0	0	0	0	0	0
30	1176958810	19	4	2007	2	4	9999	3	9999	9999	9999	9999	1	2	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	0	0	0	92	0	1	0	0	0	0	1
31	1177131610	21	4	2007	23	6	3	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	2	9999	9999	2	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	0	0	0	94	0	0	0	0	0	0	0
32	1177218010	22	4	2007	10	5	9999	6	9999	9999	9999	9999	9999	3	9999	9999	3	9999	1	9999	9999	9999	9999	9999	1	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	0	0	0	95	0	0	0	0	0	0	1
