ID	TIMESTAMP	DIA	MES	AÑO	ESTADO	Municipio	IO	AG	DE	PF	MIF	MAF	PFF	AFIF	PEF	PMF	PMUF	AMPF	DOF	CIF	PL	MIL	MAL	PFL	AFIFL	PEL	PML	PMUL	AMPL	DOL	CIL	ARL	ARC	CARG	CART	VE	AC	AP	DEL	RES	GRA	ARF	TOR	DTRA	PRE	FCRU	ELE	TAX	DRO	VEHICULO	VAL
20	1178082010	2	5	2007	16	38	0	1	9999	5	5	9999	9999	9999	9999	9999	9999	9999	9999	9999	4	4	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	0	0	0	0	1	0	150	0	0	0	0	0	1	1
21	1179291610	16	5	2007	26	19	0	2	9999	4	9999	9999	9999	9999	9999	9999	4	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	0	0	0	0	1	0	164	0	0	0	0	0	0	0
22	1180501210	30	5	2007	19	39	0	2	9999	1	9999	9999	9999	9999	9999	9999	1	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	0	0	0	1	1	0	178	0	0	0	0	0	0	1
23	1180587610	31	5	2007	8	19	0	1	9999	2	9999	9999	9999	9999	9999	2	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	0	0	0	0	1	0	179	0	0	0	0	0	1	1
24	1181192410	7	6	2007	8	37	0	1	9999	2	9999	9999	9999	9999	9999	2	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	0	0	0	0	1	0	186	0	0	0	0	0	1	1
25	1181278810	8	6	2007	12	38	1	2	9999	1	9999	9999	9999	9999	9999	9999	1	9999	9999	9999	1	9999	9999	9999	9999	9999	9999	1	9999	9999	9999	9999	9999	9999	9999	9999	0	0	0	0	0	1	0	187	0	0	0	0	0	0	0
26	1183698010	6	7	2007	26	30	0	2	9999	2	9999	9999	9999	9999	9999	9999	2	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	0	0	0	0	1	0	215	0	0	0	0	0	0	0
27	1191733210	7	10	2007	20	43	1	1	9999	1	9999	9999	9999	9999	1	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	0	0	0	0	1	0	308	0	0	0	0	0	0	1
28	1193115610	23	10	2007	25	6	0	1	9999	1	9999	9999	9999	9999	9999	1	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	0	0	0	0	1	0	324	0	0	0	0	0	1	1
29	1197093610	8	12	2007	4	3	0	2	9999	1	9999	9999	9999	9999	9999	9999	1	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	0	0	0	1	1	0	371	0	0	0	0	0	0	0
30	1198908010	29	12	2007	32	20	0	1	9999	7	9999	9999	9999	9999	9999	6	1	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	0	0	0	0	1	0	392	0	0	0	0	0	0	0
31	1200549610	17	1	2008	2	4	0	1	9999	8	9999	9999	1	9999	9999	9999	9999	9999	1	6	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	0	0	0	0	1	0	411	0	0	0	0	0	0	0
32	1202450410	8	2	2008	25	18	0	1	9999	4	9999	9999	9999	9999	9999	9999	4	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	1	0	0	0	1	0	433	0	0	0	0	0	1	1
33	1207202410	3	4	2008	7	72	0	2	9999	3	9999	9999	9999	9999	3	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	1	0	0	0	1	0	488	0	0	0	0	0	0	1
34	1213678810	17	6	2008	25	6	0	3	9999	1	9999	9999	9999	9999	9999	9999	1	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	1	0	0	0	1	0	562	0	0	0	0	0	1	1
35	1214024410	21	6	2008	15	81	0	3	9999	2	9999	9999	9999	9999	9999	9999	2	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	0	0	0	0	1	0	566	0	0	0	0	0	1	1
36	1215147610	4	7	2008	1	1	0	1	9999	2	9999	9999	9999	9999	9999	9999	2	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	0	0	0	0	1	0	579	0	0	0	0	0	1	1
37	1215234010	5	7	2008	16	4	0	3	9999	4	9999	9999	9999	9999	9999	9999	3	9999	9999	1	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	0	0	0	0	1	0	580	0	0	0	0	0	0	1
38	1215493210	8	7	2008	26	2	0	1	9999	1	9999	9999	9999	9999	9999	9999	1	9999	9999	9999	1	9999	9999	9999	9999	9999	9999	1	9999	9999	9999	9999	9999	9999	9999	9999	0	1	0	0	0	1	0	583	0	0	0	0	0	0	1
39	1215925210	13	7	2008	25	12	0	1	9999	1	9999	9999	9999	9999	9999	9999	1	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	1	0	0	0	1	0	588	0	0	0	0	0	1	1
40	1217221210	28	7	2008	10	12	1	2	9999	2	9999	9999	9999	9999	9999	9999	2	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	0	0	0	0	1	0	603	0	0	0	0	0	0	1
41	1217221210	28	7	2008	10	12	1	2	9999	2	9999	9999	9999	9999	9999	9999	2	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	0	0	0	0	1	0	603	0	0	0	0	0	0	1
42	1219381210	22	8	2008	25	12	0	1	9999	1	9999	9999	9999	9999	9999	9999	1	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	1	0	0	0	1	0	628	0	0	0	0	0	0	0
43	1219467610	23	8	2008	27	4	0	3	9999	1	9999	9999	9999	9999	1	9999	9999	9999	9999	9999	1	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	0	0	0	1	1	0	629	0	0	0	0	0	1	1
44	1221195610	12	9	2008	15	121	0	3	9999	2	9999	9999	9999	9999	2	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	0	0	0	0	1	0	649	0	0	0	0	0	0	1
45	1221800410	19	9	2008	26	25	1	2	9999	1	9999	9999	9999	9999	9999	1	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	0	0	0	0	1	0	656	0	0	0	0	0	0	1
